"","X.1","X","year","stress","satjob1","health1","jobsecok","fringeok","secondwk","famwkoff","partfull","rincome","race","sex","educ","naicsind07","censusocc00","id","ballot","isco08","stressd","stressn","satjob1d","satjob1n","health1d","health1n","jobsecokd","jobsecokn","fringeokd","fringeokn","secondwkd","famwkoffd","famwkoffn","fulld","rincomed","blackraced","femalesexd","colleged","idvar","computefrey","pct_software","pct_robot","pct_ai","naics_id","yearnaics","ko_ratio","kl_ratio","decline","declineord","declinefac"
"1213",1213,1213,"2002","No issp","Not applicable","Fair","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Black","Female","15","Elementary and secondary schools","Data entry keyers",1259,"Ballot c",4132,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"2002-1259",0.99,0.63,0.6,0.94,6,"2002-6",0.0346388467106889,0.0672407514512778,1,5,"Decline"
"1214",1214,1214,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Black","Female","11","Nursing care facilities","Nursing, psychiatric, and home health aides",1260,"Ballot a",5321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"2002-1260",0.47,0.3,0.57,0.26,65,"2002-65",0.0761296944565964,0.151092580875953,0,0.5,"Much faster than average"
"1215",1215,1215,"2002","Sometimes","Somewhat satisfied","Fair","Somewhat true","Somewhat true","No","Not at all hard","Full-time","$10000 - 14999","Black","Male","16","Outpatient care centers","Medical assistants",1261,"Ballot a",3256,0,2,1,2,1,1,1,2,1,2,0,1,3,1,0,1,1,1,"2002-1261",0.3,0.3,0.57,0.26,92,"2002-92",0.0761296944565964,0.151092580875953,0,0,"Much faster than average"
"1216",1216,1216,"2002","No issp","Not applicable","Very good","Not applicable","Not applicable","Not applicable","Not applicable","Part-time","$10000 - 14999","Black","Male","12","Clothing stores","Maids and housekeeping cleaners",1262,"Ballot b",9111,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,"2002-1262",0.69,0.42,0.97,0.05,9,"2002-9",0.125375326854501,0.220138923246442,1,5,"Decline"
"1217",1217,1217,"2002","Hardly ever","Somewhat satisfied","Very good","Very true","Not too true","Yes","Not too hard","Full-time","$10000 - 14999","Black","Male","16","Elementary and secondary schools","Teacher assistants",1263,"Ballot a",5312,0,1,1,2,1,3,1,3,0,1,1,1,2,1,0,1,1,1,"2002-1263",0.56,0.07,0.33,0.07,6,"2002-6",0.0346388467106889,0.0672407514512778,0,2,"Average"
"1218",1218,1218,"2002","Often","Very satisfied","Very good","Somewhat true","Somewhat true","Yes","Not too hard","Full-time","$25000 or more","Black","Female","17","Elementary and secondary schools","Elementary and middle school teachers",1264,"Ballot b",2341,1,3,1,3,1,3,1,2,1,2,1,1,2,1,1,1,0,1,"2002-1264",0.0872,0.22,0.14,0.4,6,"2002-6",0.0346388467106889,0.0672407514512778,0,2.5,"Average"
"1219",1219,1219,"2002","Never","Very satisfied","Excellent","Somewhat true","Somewhat true","Yes","Not at all hard","Full-time","$25000 or more","Black","Female","14","Outpatient care centers","Nursing, psychiatric, and home health aides",1265,"Ballot c",5321,0,0,1,3,1,4,1,2,1,2,1,1,3,1,1,1,0,0,"2002-1265",0.47,0.3,0.57,0.26,92,"2002-92",0.0761296944565964,0.151092580875953,0,0.5,"Much faster than average"
"1220",1220,1220,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Part-time","$8000 to 9999","Black","Female","12"," restaurants and other food services","Food preparation workers",1266,"Ballot a",9412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,"2002-1266",0.85,0.0533333333333333,0.756666666666667,0.05,25,"2002-25",0.115557254239675,0.295541734922122,0,1.5,"Faster than average"
"1221",1221,1221,"2002","Sometimes","Very satisfied","Very good","Not too true","Not at all true","No","Not at all hard","Part-time","$5000 to 5999","White","Male","14","Radio, tv, and computer stores","Electric motor, power tool, and related repairers",1267,"Ballot b",7412,0,2,1,3,1,3,0,1,0,0,0,1,3,0,0,0,1,0,"2002-1267",0.644076923076923,0.6375,0.6725,0.71,81,"2002-81",0.125375326854501,0.220138923246442,0.153846153846154,2.76923076923077,"Slower than average"
"1222",1222,1222,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Black","Female","5","Personal and household goods repair and maintenance","Tailors, dressmakers, and sewers",1268,"Ballot c",7533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"2002-1268",0.823333333333333,0.465,0.68,0.35,122,"2002-122",0.124322002740858,0.279921043394681,1,5,"Decline"
"1223",1223,1223,"2002","No issp","Not applicable","Very good","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","11","Gasoline stations","Cashiers",1269,"Ballot a",5230,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-1269",0.9,0.65,0.23,0.38,21,"2002-21",0.163785562262517,0.328015833596725,0.5,4.5,"Little or no change"
"1224",1224,1224,"2002","Never","Not too satisfied","Good","Very true","Not at all true","No","Not at all hard","Full-time","Not applicable","White","Female","14"," restaurants and other food services","Cooks",1270,"Ballot b",5120,0,0,0,1,1,2,1,3,0,0,0,1,3,1,NA,0,0,0,"2002-1270",0.732,0.67,0.09,0.26,25,"2002-25",0.115557254239675,0.295541734922122,0,1.66666666666667,"Average"
"1225",1225,1225,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Black","Female","11","Individual and family services","Office clerks, general",1271,"Ballot a",4110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"2002-1271",0.97,0.265,0.3,0.17,128,"2002-128",0.0456369518037754,0.0697736487544009,1,5,"Decline"
"1226",1226,1226,"2002","Sometimes","Very satisfied","Good","Somewhat true","Very true","No","Somewhat hard","Full-time","$25000 or more","White","Male","15","No answer","Customer service representatives",1273,"Ballot b",4222,0,2,1,3,1,2,1,2,1,3,0,0,1,1,1,0,1,0,"2002-1273",0.755,0.545,0.295,0.505,80,"2002-80",NA,NA,0.5,3.5,"Slower than average"
"1227",1227,1227,"2002","Always","Not at all satisfied","Excellent","Not too true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Female","14","Grocery stores","First-line supervisors of office and administrative support workers",1274,"Ballot c",3341,1,4,0,0,1,4,0,1,1,3,0,1,3,1,1,0,0,0,"2002-1274",0.014,0.08,0.08,0.29,77,"2002-77",0.125375326854501,0.220138923246442,0,4,"Little or no change"
"1228",1228,1228,"2002","Always","Not too satisfied","Excellent","Somewhat true","Somewhat true","No","Not too hard","Part-time","$4000 to 4999","White","Female","12","Department stores and discount stores","Sales and related workers, all other",1275,"Ballot b",5249,1,4,0,1,1,4,1,2,1,2,0,1,2,0,0,0,0,0,"2002-1275",0.97,0.065,0.035,0.1,60,"2002-60",0.125375326854501,0.220138923246442,0,2,"Average"
"1229",1229,1229,"2002","Sometimes","Somewhat satisfied","Fair","Not too true","Somewhat true","No","Not at all hard","Full-time","$20000 - 24999","Black","Female","10","Hardware, plumbing and heating equipment, and supplies, merchant wholesalers","Shipping, receiving, and traffic clerks",1276,"Ballot a",3331,0,2,1,2,1,1,0,1,1,2,0,1,3,1,0,1,0,0,"2002-1276",0.985,0.79,0.37,0.77,205,"2002-205",0.223178342187849,0.43330149744284,0,2.5,"Average"
"1230",1230,1230,"2002","Sometimes","Not too satisfied","Very good","Somewhat true","Somewhat true","No","Not at all hard","Part-time","$3000 to 3999","White","Male","9","Automotive repair and maintenance","Automotive service technicians and mechanics",1277,"Ballot b",7231,0,2,0,1,1,3,1,2,1,2,0,1,3,0,0,0,1,0,"2002-1277",0.6453,0.376,0.684,0.48,44,"2002-44",0.163785562262517,0.328015833596725,0.1,2.3,"Average"
"1231",1231,1231,"2002","Often","Not too satisfied","Very good","Very true","Very true","No","Very hard","Full-time","$25000 or more","White","Male","12","Rail transportation","Miscellaneous construction and related workers",1278,"Ballot c",9313,1,3,0,1,1,3,1,3,1,3,0,0,0,1,1,0,1,0,"2002-1278",0.8,0.68,0.88,0.48,1,"2002-1",0.265016923031737,0.684658989466167,0,0.5,"Much faster than average"
"1232",1232,1232,"2002","Never","Somewhat satisfied","Excellent","Very true","Not too true","No","Not at all hard","Full-time","$25000 or more","Black","Male","14","Construction","Pipelayers, plumbers, pipefitters, and steamfitters",1279,"Ballot a",7126,0,0,1,2,1,4,1,3,0,1,0,1,3,1,1,1,1,0,"2002-1279",0.485,0.74,0.83,0.43,18,"2002-18",0.0530238213759774,0.142119792291001,0,0,"Much faster than average"
"1233",1233,1233,"2002","Sometimes","Somewhat satisfied","Good","Somewhat true","Not too true","No","Not too hard","Full-time","$25000 or more","Black","Male","12","Industrial and miscellaneous chemicals","Shipping, receiving, and traffic clerks",1280,"Ballot a",3331,0,2,1,2,1,2,1,2,0,1,0,1,2,1,1,1,1,0,"2002-1280",0.985,0.79,0.37,0.77,2,"2002-2",0.229780408968689,1.43050126323525,0,2.5,"Average"
"1234",1234,1234,"2002","Sometimes","Somewhat satisfied","Excellent","Somewhat true","Somewhat true","Yes","Not too hard","Full-time","$25000 or more","White","Female","16","Services incidental to transportation","Business operations specialists, all other",1281,"Ballot c",3339,0,2,1,2,1,4,1,2,1,2,1,1,2,1,1,0,0,1,"2002-1281",0.297714285714286,0.225,0.19875,0.465,100,"2002-100",0.163785562262517,0.328015833596725,0.375,2.875,"Slower than average"
"1235",1235,1235,"2002","No issp","Not applicable","Excellent","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","15","Department stores and discount stores","Models, demonstrators, and product promoters",1282,"Ballot a",5242,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-1282",0.51,0.05,0.18,0.02,60,"2002-60",0.125375326854501,0.220138923246442,0,2,"Average"
"1236",1236,1236,"2002","Often","Not too satisfied","Good","Somewhat true","Not too true","Yes","Somewhat hard","Full-time","Not applicable","White","Male","17"," restaurants and other food services","Waiters and waitresses",1283,"Ballot a",5131,1,3,0,1,1,2,1,2,0,1,1,0,1,1,NA,0,1,1,"2002-1283",0.9,0.115,0.615,0.07,25,"2002-25",0.115557254239675,0.295541734922122,0,1,"Faster than average"
"1237",1237,1237,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12"," restaurants and other food services","Waiters and waitresses",1284,"Ballot a",5131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-1284",0.9,0.115,0.615,0.07,25,"2002-25",0.115557254239675,0.295541734922122,0,1,"Faster than average"
"1238",1238,1238,"2002","Sometimes","Somewhat satisfied","Very good","Very true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Male","17","Not specified utilities","Managers, all other",1285,"Ballot c",1219,0,2,1,2,1,3,1,3,1,3,0,1,3,1,1,0,1,1,"2002-1285",0.16,0.5,0.26,0.68,188,"2002-188",0.347260877177509,1.76898791050501,0.166666666666667,2.16666666666667,"Average"
"1239",1239,1239,"2002","No issp","Not applicable","Excellent","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","13","Executive offices and legislative bodies","Secretaries and administrative assistants",1287,"Ballot b",3343,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2002-1287",0.68,0.33,0.43,0.09,23,"2002-23",0.347262530918516,0.845669650581723,0.5,3,"Slower than average"
"1240",1240,1240,"2002","Hardly ever","Very satisfied","Excellent","Very true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","White","Male","12","Other amusement, gambling, and recreation industries","Gaming services workers",1288,"Ballot c",4212,0,1,1,3,1,4,1,3,1,2,0,1,3,1,1,0,1,0,"2002-1288",0.616,0.65,0.23,0.38,91,"2002-91",0.0914679198697385,0.215646390376157,0,3,"Slower than average"
"1241",1241,1241,"2002","Hardly ever","Somewhat satisfied","Fair","Very true","Somewhat true","No","Somewhat hard","Full-time","$25000 or more","White","Female","16","Other health care services","Registered nurses",1289,"Ballot b",2221,0,1,1,2,1,1,1,3,1,2,0,0,1,1,1,0,0,1,"2002-1289",0.058,0.43,0.22,0.78,58,"2002-58",0.0897216864045691,0.15641932297841,0,0,"Much faster than average"
"1242",1242,1242,"2002","No issp","Not applicable","Good","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","11","Personal and household goods repair and maintenance","Cabinetmakers and bench carpenters",1290,"Ballot b",7522,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2002-1290",0.915,0.255,0.63,0.23,122,"2002-122",0.124322002740858,0.279921043394681,0,3.5,"Slower than average"
"1243",1243,1243,"2002","Never","Somewhat satisfied","Very good","Not too true","Not at all true","No","Not at all hard","Full-time","$25000 or more","White","Male","11","Construction","Painters, construction and maintenance",1291,"Ballot c",7131,0,0,1,2,1,3,0,1,0,0,0,1,3,1,1,0,1,0,"2002-1291",0.81,0.74,0.74,0.4,18,"2002-18",0.0530238213759774,0.142119792291001,0,2,"Average"
"1244",1244,1244,"2002","Often","Somewhat satisfied","Good","Somewhat true","Somewhat true","No","Not too hard","Part-time","$10000 - 14999","Black","Female","12","Department stores and discount stores","Designers",1292,"Ballot b",3432,1,3,1,2,1,2,1,2,1,2,0,1,2,0,0,1,0,0,"2002-1292",0.169166666666667,0.59,0.47,0.77,60,"2002-60",0.125375326854501,0.220138923246442,0,2.33333333333333,"Average"
"1245",1245,1245,"2002","Sometimes","Very satisfied","Excellent","Very true","Not at all true","No","Not at all hard","Full-time","$15000 - 19999","White","Male","14","Gasoline stations","First-line supervisors of retail sales workers",1293,"Ballot a",5222,0,2,1,3,1,4,1,3,0,0,0,1,3,1,0,0,1,0,"2002-1293",0.28,0.28,0.2,0.61,21,"2002-21",0.163785562262517,0.328015833596725,1,5,"Decline"
"1246",1246,1246,"2002","Never","Somewhat satisfied","Excellent","Not too true","Not too true","No","Somewhat hard","Full-time","$20000 - 24999","Black","Male","12","Rail transportation","Driver/sales workers and truck drivers",1294,"Ballot b",8332,0,0,1,2,1,4,0,1,0,1,0,0,1,1,0,1,1,0,"2002-1294",0.4095,0.75,0.85,0.35,1,"2002-1",0.265016923031737,0.684658989466167,0,2,"Average"
"1247",1247,1247,"2002","Sometimes","Somewhat satisfied","Fair","Very true","Not at all true","No","Not at all hard","Full-time","$25000 or more","White","Male","14","Other amusement, gambling, and recreation industries","Gaming services workers",1295,"Ballot c",4212,0,2,1,2,1,1,1,3,0,0,0,1,3,1,1,0,1,0,"2002-1295",0.616,0.65,0.23,0.38,91,"2002-91",0.0914679198697385,0.215646390376157,0,3,"Slower than average"
"1248",1248,1248,"2002","Often","Somewhat satisfied","Very good","Not at all true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Male","18","Other amusement, gambling, and recreation industries","Recreation and fitness workers",1296,"Ballot c",3423,1,3,1,2,1,3,0,0,1,3,0,1,3,1,1,0,1,1,"2002-1296",0.074525,0.15,0.09,0.21,91,"2002-91",0.0914679198697385,0.215646390376157,0,0,"Much faster than average"
"1249",1249,1249,"2002","Often","Not too satisfied","Excellent","Somewhat true","Not at all true","No","Not too hard","Full-time","Don't know","White","Male","12"," restaurants and other food services","Waiters and waitresses",1297,"Ballot a",5131,1,3,0,1,1,4,1,2,0,0,0,1,2,1,NA,0,1,0,"2002-1297",0.9,0.115,0.615,0.07,25,"2002-25",0.115557254239675,0.295541734922122,0,1,"Faster than average"
"1250",1250,1250,"2002","Sometimes","Very satisfied","Fair","Very true","Very true","Yes","Not too hard","Full-time","$10000 - 14999","White","Female","14","Services to buildings and dwellings","Secretaries and administrative assistants",1298,"Ballot c",3343,0,2,1,3,1,1,1,3,1,3,1,1,2,1,0,0,0,0,"2002-1298",0.68,0.33,0.43,0.09,90,"2002-90",0.15823413073328,0.389960029492801,0.5,3,"Slower than average"
"1251",1251,1251,"2002","Sometimes","Somewhat satisfied","Excellent","Somewhat true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","White","Male","11","Structural metals, and boiler, tank, and shipping container manufacturing","Molders and molding machine setters, operators, and tenders, metal and plastic",1299,"Ballot c",7211,0,2,1,2,1,4,1,2,1,2,0,1,3,1,1,0,1,0,"2002-1299",0.81,0.44,0.67,0.25,70,"2002-70",0.102426518266977,0.328099339225498,1,5,"Decline"
"1252",1252,1252,"2002","Hardly ever","Very satisfied","Very good","Very true","Somewhat true","No","Not too hard","Full-time","$20000 - 24999","White","Female","12","Hospitals","Fundraisers",1300,"Ballot a",4214,0,1,1,3,1,3,1,3,1,2,0,1,2,1,0,0,0,0,"2002-1300",0.95,0.02,0.02,0.09,14,"2002-14",0.0761296944565964,0.151092580875953,0.5,3,"Slower than average"
"1253",1253,1253,"2002","Often","Somewhat satisfied","Good","Very true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Male","12","Not specified wholesale trade","Data entry keyers",1301,"Ballot b",4132,1,3,1,2,1,2,1,3,1,3,0,1,3,1,1,0,1,0,"2002-1301",0.99,0.63,0.6,0.94,53,"2002-53",0.223178342187849,0.43330149744284,1,5,"Decline"
"1254",1254,1254,"2002","Hardly ever","Very satisfied","Very good","Not at all true","Somewhat true","No","Not too hard","Full-time","$20000 - 24999","White","Male","14","Other amusement, gambling, and recreation industries","Entertainers and performers, sports and related workers, all other",1302,"Ballot a",2659,0,1,1,3,1,3,0,0,1,2,0,1,2,1,0,0,1,0,"2002-1302",0.035,0.01,0.01,0.01,91,"2002-91",0.0914679198697385,0.215646390376157,0,3,"Slower than average"
"1255",1255,1255,"2002","Hardly ever","Somewhat satisfied","Good","Not too true","Somewhat true","No","Not too hard","Full-time","$25000 or more","Black","Female","17","Pharmacies and drug stores","Health practitioner support technologists and technicians",1303,"Ballot c",3210,0,1,1,2,1,2,0,1,1,2,0,1,2,1,1,1,0,1,"2002-1303",0.9,0.32,0.33,0.34,47,"2002-47",0.125375326854501,0.220138923246442,0,0,"Much faster than average"
"1256",1256,1256,"2002","No issp","Not applicable","Good","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","16","Elementary and secondary schools","Elementary and middle school teachers",1304,"Ballot a",2341,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,"2002-1304",0.0872,0.22,0.14,0.4,6,"2002-6",0.0346388467106889,0.0672407514512778,0,2.5,"Average"
"1257",1257,1257,"2002","Sometimes","Very satisfied","Very good","Very true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","White","Male","12","Other professional, scientific, and technical services","Photographers",1305,"Ballot c",3431,0,2,1,3,1,3,1,3,1,2,0,1,3,1,1,0,1,0,"2002-1305",0.021,0.84,0.68,0.8,19,"2002-19",0.066563608123553,0.126235298248787,1,5,"Decline"
"1258",1258,1258,"2002","Often","Somewhat satisfied","Very good","Somewhat true","Very true","No","Not too hard","Full-time","$25000 or more","Other","Female","18","Pharmaceutical and medicine manufacturing","Industrial engineers, including health and safety",1306,"Ballot b",2141,1,3,1,2,1,3,1,2,1,3,0,1,2,1,1,0,0,1,"2002-1306",0.029,0.62,0.5,0.84,78,"2002-78",0.180657698248608,0.384577037134414,0,1,"Faster than average"
"1259",1259,1259,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","12","Not specified manufacturing industries","Managers, all other",1307,"Ballot c",1219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2002-1307",0.16,0.5,0.26,0.68,129,"2002-129",0.180657698248608,0.384577037134414,0.166666666666667,2.16666666666667,"Average"
"1260",1260,1260,"2002","Sometimes","Very satisfied","Excellent","Very true","Very true","No","Not too hard","Full-time","$25000 or more","White","Female","12","Printing and related support activities","Chief executives",1308,"Ballot a",1120,0,2,1,3,1,4,1,3,1,3,0,1,2,1,1,0,0,0,"2002-1308",0.0875,0.4,0.175,0.48,72,"2002-72",0.0740559311718442,0.191002860167106,0.5,3,"Slower than average"
"1261",1261,1261,"2002","Hardly ever","Not too satisfied","Good","Very true","Very true","Yes","Not at all hard","Full-time","$25000 or more","White","Male","13","Cutlery and hand tool manufacturing","Machinists",1309,"Ballot b",7223,0,1,0,1,1,2,1,3,1,3,1,1,3,1,1,0,1,0,"2002-1309",0.870909090909091,0.695555555555556,0.743333333333333,0.756666666666667,203,"2002-203",0.102426518266977,0.328099339225498,0.833333333333333,4.66666666666667,"Decline"
"1262",1262,1262,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Full-time","Not applicable","White","Female","13","Colleges and universities, including junior colleges","Fire inspectors",1310,"Ballot a",3151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,"2002-1310",0.035,0.64,0.69,0.21,4,"2002-4",0.0346388467106889,0.0672407514512778,1,5,"Decline"
"1263",1263,1263,"2002","Sometimes","Very satisfied","Very good","Very true","Not at all true","No","Not at all hard","Full-time","Lt $1000","White","Female","11","Nursing care facilities","Nursing, psychiatric, and home health aides",1311,"Ballot a",5321,0,2,1,3,1,3,1,3,0,0,0,1,3,1,0,0,0,0,"2002-1311",0.47,0.3,0.57,0.26,65,"2002-65",0.0761296944565964,0.151092580875953,0,0.5,"Much faster than average"
"1264",1264,1264,"2002","Often","Somewhat satisfied","Very good","Not at all true","Not at all true","No","Not at all hard","Full-time","$25000 or more","White","Male","10","Construction","Carpenters",1314,"Ballot a",7115,1,3,1,2,1,3,0,0,0,0,0,1,3,1,1,0,1,0,"2002-1314",0.72,0.82,0.77,0.85,18,"2002-18",0.0530238213759774,0.142119792291001,0,1,"Faster than average"
"1265",1265,1265,"2002","Always","Not too satisfied","Poor","Somewhat true","Not too true","No","Somewhat hard","Full-time","$15000 - 19999","White","Female","9","Newspaper publishers","Writers and authors",1315,"Ballot c",2641,1,4,0,1,0,0,1,2,0,1,0,0,1,1,0,0,0,0,"2002-1315",0.327666666666667,0.16,0.0866666666666667,0.39,31,"2002-31",0.16876818311709,0.443289038888088,0.333333333333333,3.33333333333333,"Slower than average"
"1266",1266,1266,"2002","Sometimes","Somewhat satisfied","Excellent","Very true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","Black","Female","14","Hospitals","Nursing, psychiatric, and home health aides",1316,"Ballot a",5321,0,2,1,2,1,4,1,3,1,2,0,1,3,1,1,1,0,0,"2002-1316",0.47,0.3,0.57,0.26,14,"2002-14",0.0761296944565964,0.151092580875953,0,0.5,"Much faster than average"
"1267",1267,1267,"2002","No issp","Not applicable","Fair","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","12","U.s. coast guard","Military, rank not specified",1317,"Ballot c",310,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2002-1317",NA,NA,NA,NA,206,"2002-206",0.347262530918516,0.845669650581723,NA,NA,NA
"1268",1268,1268,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","17","Elementary and secondary schools","Elementary and middle school teachers",1318,"Ballot a",2341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,"2002-1318",0.0872,0.22,0.14,0.4,6,"2002-6",0.0346388467106889,0.0672407514512778,0,2.5,"Average"
"1269",1269,1269,"2002","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Black","Male","11","Hospitals","Janitors and building cleaners",1319,"Ballot c",9112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,"2002-1319",0.573333333333333,0.536666666666667,0.916666666666667,0.186666666666667,14,"2002-14",0.0761296944565964,0.151092580875953,0.333333333333333,2.66666666666667,"Slower than average"
"1270",1270,1270,"2002","No issp","Not applicable","Fair","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","6","Paint, coating, and adhesive manufacturing","Laborers and freight, stock, and material movers, hand",1320,"Ballot b",9329,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2002-1320",0.813333333333333,0.8375,0.905,0.4275,207,"2002-207",0.229780408968689,1.43050126323525,0,2.5,"Average"
"1271",1271,1271,"2002","Sometimes","Very satisfied","Excellent","Very true","Somewhat true","No","Not too hard","Full-time","$20000 - 24999","White","Female","14","Waste management and remediation services","Driver/sales workers and truck drivers",1321,"Ballot a",8332,0,2,1,3,1,4,1,3,1,2,0,1,2,1,0,0,0,0,"2002-1321",0.4095,0.75,0.85,0.35,104,"2002-104",0.195215436439815,0.582507480973587,0,2,"Average"
"1272",1272,1272,"2002","Hardly ever","Somewhat satisfied","Very good","Somewhat true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","White","Female","17","Jewelry, luggage, and leather goods stores","Managers, all other",1322,"Ballot b",1219,0,1,1,2,1,3,1,2,1,2,0,1,3,1,1,0,0,1,"2002-1322",0.16,0.5,0.26,0.68,125,"2002-125",0.125375326854501,0.220138923246442,0.166666666666667,2.16666666666667,"Average"
"1273",1273,1273,"2002","Often","Somewhat satisfied","Good","Very true","Very true","No","Somewhat hard","Full-time","$25000 or more","White","Female","19","Elementary and secondary schools","Secondary school teachers",1323,"Ballot c",2330,1,3,1,2,1,2,1,3,1,3,0,0,1,1,1,0,0,1,"2002-1323",0.0078,0.19,0.1,0.43,6,"2002-6",0.0346388467106889,0.0672407514512778,0,2,"Average"
"1274",1274,1274,"2002","Never","Very satisfied","Excellent","Very true","Somewhat true","Yes","Not too hard","Full-time","$25000 or more","White","Female","16","Specialized design services","Designers",1324,"Ballot c",3432,0,0,1,3,1,4,1,3,1,2,1,1,2,1,1,0,0,1,"2002-1324",0.169166666666667,0.59,0.47,0.77,50,"2002-50",0.0354697344033846,0.0496418580449279,0,2.33333333333333,"Average"
"1275",1275,1275,"2002","Sometimes","Somewhat satisfied","Good","Not too true","Somewhat true","Yes","Not too hard","Part-time","$25000 or more","White","Male","11","Computer systems design and related services","Computer, automated teller, and office machine repairers",1325,"Ballot a",7421,0,2,1,2,1,2,0,1,1,2,1,1,2,0,1,0,1,0,"2002-1325",0.536142857142857,0.563333333333333,0.598333333333333,0.665,24,"2002-24",0.0354697344033846,0.0496418580449279,0.285714285714286,3.57142857142857,"Little or no change"
"1276",1276,1276,"2002","Sometimes","Somewhat satisfied","Good","Very true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Male","14","Construction","Driver/sales workers and truck drivers",1326,"Ballot b",8332,0,2,1,2,1,2,1,3,1,3,0,1,3,1,1,0,1,0,"2002-1326",0.4095,0.75,0.85,0.35,18,"2002-18",0.0530238213759774,0.142119792291001,0,2,"Average"
"1277",1277,1277,"2002","Sometimes","Somewhat satisfied","Very good","Not too true","Not too true","No","Not at all hard","Full-time","$10000 - 14999","White","Female","12","Construction","Secretaries and administrative assistants",1328,"Ballot b",3343,0,2,1,2,1,3,0,1,0,1,0,1,3,1,0,0,0,0,"2002-1328",0.68,0.33,0.43,0.09,18,"2002-18",0.0530238213759774,0.142119792291001,0.5,3,"Slower than average"
